Gate number;Flight number;Average delay;Arrival queue size;Departure queue size;Runway waiting time;Arrival waiting time;Departure waiting time;Priority;End date;;Gate number;Flight number;Average delay;Arrival queue size;Departure queue size;Runway waiting time;Arrival waiting time;Departure waiting time;Priority;End date;;Gate number;Flight number;Average delay;Arrival queue size;Departure queue size;Runway waiting time;Arrival waiting time;Departure waiting time;Priority;End date
1;5;10.8;0.0;0.0;1.2;2.4;0.0;landing;1198.0;;1;5;10.8;0.0;0.0;1.2;2.4;0.0;gate;1198.0;;;;;;;;;;;
1;10;16.5;0.0;0.0;4.8;4.2;5.5;landing;1198.0;;1;10;16.5;0.0;0.0;4.8;4.2;5.5;gate;1198.0;;1;10;16.5;0.0;0.0;4.8;4.2;5.5;takeoff;1198.0
1;15;91.4;0.2;0.7;37.4;16.7;58.0;landing;1198.0;;1;15;44.2;0.3;0.1;16.8;22.7;10.8;gate;1198.0;;1;15;44.2;0.3;0.1;16.8;22.7;10.8;takeoff;1198.0
1;20;206.8;0.7;2.4;93.0;42.2;143.8;landing;1235.0;;1;20;70.4;0.9;0.1;29.1;52.1;6.0;gate;1198.0;;1;20;70.4;0.9;0.1;29.1;52.1;6.0;takeoff;1198.0
1;30;790.2;3.3;9.6;382.2;161.2;603.2;landing;1904.0;;1;30;190.8;3.5;0.1;88.9;173.7;4.0;gate;1593.0;;1;30;190.8;3.5;0.1;88.9;173.7;4.0;takeoff;1593.0
1;40;1593.6;8.8;17.8;782.8;428.1;1137.5;landing;2579.0;;1;40;457.4;9.0;0.0;221.8;442.0;1.6;gate;2058.0;;1;50;698.7;13.9;0.0;342.3;683.4;1.3;takeoff;2549.0
1;50;2157.6;13.7;22.8;1064.8;669.3;1460.3;landing;3219.0;;1;50;698.7;13.9;0.0;342.3;683.4;1.3;gate;2549.0;;2;5;10.8;0.0;0.0;1.2;2.4;0.0;takeoff;1198.0
2;5;10.8;0.0;0.0;1.2;2.4;0.0;landing;1198.0;;2;5;10.8;0.0;0.0;1.2;2.4;0.0;gate;1198.0;;2;10;6.8;0.0;0.0;1.7;3.2;0.1;takeoff;1198.0
2;10;6.8;0.0;0.0;1.7;3.2;0.1;landing;1198.0;;2;10;6.8;0.0;0.0;1.7;3.2;0.1;gate;1198.0;;2;15;34.2;0.2;0.1;13.9;18.3;9.6;takeoff;1198.0
2;15;46.9;0.2;0.3;19.6;13.3;25.8;landing;1198.0;;2;15;29.9;0.2;0.1;12.6;15.1;10.0;gate;1198.0;;2;20;59.2;0.7;0.2;25.5;41.6;9.5;takeoff;1198.0
2;20;123.9;0.6;1.3;55.5;31.9;79.1;landing;1206.0;;2;20;56.5;0.6;0.3;25.1;31.9;18.2;gate;1198.0;;2;30;85.7;1.8;0.2;41.1;74.7;7.4;takeoff;1339.0
2;30;293.4;1.4;4.5;141.2;57.7;224.7;landing;1504.0;;2;30;87.2;1.6;0.4;41.7;65.9;17.6;gate;1339.0;;2;50;431.3;10.9;0.3;214.0;417.7;10.3;takeoff;1987.0
2;40;978.3;4.2;17.1;482.9;139.1;826.8;landing;1948.0;;2;40;170.2;4.5;0.5;85.4;152.3;18.6;gate;1450.0;;5;5;10.8;0.0;0.0;1.2;2.4;0.0;takeoff;1198.0
2;50;1418.6;9.1;22.4;702.8;308.6;1097.0;landing;2465.0;;2;50;342.8;9.5;0.6;171.6;323.2;20.0;gate;1793.0;;5;10;6.8;0.0;0.0;1.7;3.2;0.1;takeoff;1198.0
5;5;10.8;0.0;0.0;1.2;2.4;0.0;landing;1198.0;;5;5;10.8;0.0;0.0;1.2;2.4;0.0;gate;1198.0;;5;15;14.6;0.1;0.0;6.5;9.3;3.7;takeoff;1198.0
5;10;6.8;0.0;0.0;1.7;3.2;0.1;landing;1198.0;;5;10;6.8;0.0;0.0;1.7;3.2;0.1;gate;1198.0;;5;20;32.2;0.3;0.2;14.3;19.3;9.4;takeoff;1198.0
5;15;15.6;0.1;0.1;7.0;8.3;5.7;landing;1198.0;;5;15;15.6;0.1;0.1;7.0;8.3;5.7;gate;1198.0;;5;30;73.3;1.5;0.3;36.0;61.3;10.8;takeoff;1300.0
5;20;42.8;0.2;0.5;19.6;10.3;28.9;landing;1198.0;;5;20;25.3;0.2;0.2;11.8;9.1;14.6;gate;1198.0;;5;50;355.8;9.6;0.4;177.5;341.1;13.8;takeoff;1861.0
5;30;163.5;0.5;3.3;80.1;20.1;140.1;landing;1306.0;;5;30;67.5;0.7;1.1;34.2;25.2;43.2;gate;1208.0;;10;5;5.0;0.0;0.0;2.7;2.4;2.9;takeoff;1198.0
5;40;519.9;1.1;12.5;258.4;31.2;485.6;landing;1567.0;;5;40;207.3;1.5;5.1;105.1;43.3;166.9;gate;1333.0;;10;10;3.9;0.0;0.0;2.4;3.2;1.6;takeoff;1198.0
5;50;1000.2;4.1;22.0;497.6;106.3;888.8;landing;2038.0;;5;50;452.1;3.9;11.0;227.6;98.6;356.5;gate;1633.0;;10;15;6.1;0.0;0.0;3.6;3.5;3.6;takeoff;1198.0
10;5;5.0;0.0;0.0;2.7;2.4;2.9;landing;1198.0;;10;5;5.0;0.0;0.0;2.7;2.4;2.9;gate;1198.0;;10;20;14.6;0.2;0.1;7.7;8.7;6.7;takeoff;1198.0
10;10;3.9;0.0;0.0;2.4;3.2;1.6;landing;1198.0;;10;10;3.9;0.0;0.0;2.4;3.2;1.6;gate;1198.0;;10;30;48.8;1.1;0.2;25.1;41.9;8.3;takeoff;1238.0
10;15;6.1;0.0;0.0;3.6;3.5;3.6;landing;1198.0;;10;15;6.1;0.0;0.0;3.6;3.5;3.6;gate;1198.0;;10;50;320.8;9.4;0.3;161.4;310.8;11.9;takeoff;1726.0
10;20;14.1;0.1;0.1;7.5;7.3;7.7;landing;1198.0;;10;20;14.1;0.1;0.1;7.5;7.3;7.7;gate;1198.0;;;;;;;;;;;
10;30;75.0;0.4;1.6;38.2;13.7;62.7;landing;1208.0;;10;30;75.0;0.4;1.6;38.2;13.7;62.7;gate;1208.0;;;;;;;;;;;
10;40;380.1;0.9;10.0;190.4;25.2;355.5;landing;1436.0;;10;40;223.5;1.0;6.1;113.2;27.2;199.2;gate;1333.0;;;;;;;;;;;
10;50;692.5;2.4;18.1;346.3;55.0;637.7;landing;1774.0;;10;50;509.7;1.8;14.6;256.4;41.0;471.7;gate;1633.0;;;;;;;;;;;
5;30;67.5;0.7;1.1;34.2;25.2;43.2;landing;1208.0
5;30;67.5;0.7;1.1;34.2;25.2;43.2;landing;1208.0
5;30;67.5;0.7;1.1;34.2;25.2;43.2;landing;1208.0
5;30;67.5;0.7;1.1;34.2;25.2;43.2;landing;1208.0
5;30;64.7;0.7;1.4;41.6;24.8;58.4;landing;1246.0
